ImgUrl,Link,Price,Product Id,Product Name,Ratings
https://m.media-amazon.com/images/I/81r64S0N2BL._AC_UY218_.jpg,https://www.amazon.com/Pet-Shape-20816-Skewers-100-Percent/dp/B07587NBKM/ref=sr_1_16?dchild=1&keywords=dog+duck+pig+goose5&qid=1606270202&sr=8-16,$14.95,B07587NBKM,Pet 'n Shape Chik 'n Skewers – Chicken or Duck Wrapped Rawhide Dog Chew,4.6 out of 5 stars
https://m.media-amazon.com/images/I/61JRpZfXSUL._AC_UY218_.jpg,https://www.amazon.com/Best-Pet-Supplies-Stuffless-Squeaky/dp/B08HCBJ9SB/ref=sr_1_1?dchild=1&keywords=dog+duck+pig+goose23&qid=1606270202&sr=8-1,$8.99,B08HCBJ9SB,Dog Squeaky Chew Toys Fun Skin/Plush/Log by Best Pet Supplies,4.3 out of 5 stars
https://m.media-amazon.com/images/I/51Bnz8-kKgL._AC_UY218_.jpg,https://www.amazon.com/MultiPet-Goblets-Assorted-Colors-Selected/dp/B00OSAIU6Y/ref=sr_1_2?dchild=1&keywords=dog+duck+pig+goose23&qid=1606270202&sr=8-2,$16.99,B00OSAIU6Y,Multipet Goblets Pig Latex Dog Toy Assorted Colors,4.4 out of 5 stars
https://m.media-amazon.com/images/I/51sZ7WE7tQL._AC_UY218_.jpg,https://www.amazon.com/ZippyPaws-ZP844-Miniz-Bubble-Squeak/dp/B06XSVDKLV/ref=sr_1_3?dchild=1&keywords=dog+duck+pig+goose23&qid=1606270202&sr=8-3,$7.49,B06XSVDKLV,"ZippyPaws - Farm Pals Burrow, Interactive Squeaky Hide and Seek Plush Dog Toy",4.7 out of 5 stars
https://m.media-amazon.com/images/I/61IWrXIY7EL._AC_UY218_.jpg,https://www.amazon.com/ZippyPaws-ZP875-Cheeky-Chumz-Squeak/dp/B07BTLBDMR/ref=sr_1_4?dchild=1&keywords=dog+duck+pig+goose23&qid=1606270202&sr=8-4,$7.49,B07BTLBDMR,ZippyPaws - Cheeky Chumz Super Soft Squeaker Plush Dog Toy with Unique Sound,4.6 out of 5 stars
https://m.media-amazon.com/images/I/519QmtYePvL._AC_UY218_.jpg,https://www.amazon.com/Kids-Animals-Bath-Scrubber-Bundle/dp/B0862FB8FV/ref=sr_1_5?dchild=1&keywords=dog+duck+pig+goose23&qid=1606270202&sr=8-5,$14.95,B0862FB8FV,"Kids' Animals Bath Pouf Scrubber Bundle - Puppy, Frog, Duck, and Pig",3.8 out of 5 stars
https://m.media-amazon.com/images/I/71CttCkQIxL._AC_UY218_.jpg,https://www.amazon.com/Pet-Qwerks-Big-Squeaker-Pig/dp/B07XB3GK66/ref=sr_1_6?dchild=1&keywords=dog+duck+pig+goose23&qid=1606270202&sr=8-6,$9.99,B07XB3GK66,Pet Qwerks Dog Squeak Toys - Fun Interactive Squeaky Plush Pet Toy | with Cute Funny Sounds to keep boredom at bay - Choose from Various Animal Characters,4.2 out of 5 stars
https://m.media-amazon.com/images/I/71OYBgsNKEL._AC_UY218_.jpg,https://www.amazon.com/WantChew-Latex-Squeaky-Stuffed-Cotton/dp/B07LDVJGHQ/ref=sr_1_7?dchild=1&keywords=dog+duck+pig+goose23&qid=1606270202&sr=8-7,$11.86,B07LDVJGHQ,"WantChew Latex Dog Squeaky Chew Toys, Oink Oink Pig 8.3"" with Blue dot Stuffed with Cotton.",3.4 out of 5 stars
https://m.media-amazon.com/images/I/71yW+g-Q-cL._AC_UY218_.jpg,https://www.amazon.com/Ducks-Pets-Loves-Muscovy-Water/dp/B079Y3825B/ref=sr_1_8?dchild=1&keywords=dog+duck+pig+goose23&qid=1606270202&sr=8-8,$15.99,B079Y3825B,Ducks As Pets Guy Loves Muscovy Duck Water Fowl,-1
https://m.media-amazon.com/images/I/815JR18fKVL._AC_UY218_.jpg,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A03312423HLXMA2R1FPKD&url=%2FBulldog-Depot-Select-Chicken-Nibblers%2Fdp%2FB01A9VWF3E%2Fref%3Dsr_1_9_sspa%3Fdchild%3D1%26keywords%3Ddog%2Bduck%2Bpig%2Bgoose23%26qid%3D1606270202%26sr%3D8-9-spons%26psc%3D1&qualifier=1606270202&id=6613260837458978&widgetName=sp_mtf,$10.00,B01A9VWF3E,Bulldog Depot Select Chicken Heart Nibblers Dog Treats- Always Farm Fresh!,4.9 out of 5 stars
https://m.media-amazon.com/images/I/818+2rowP3L._AC_UY218_.jpg,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A00170103153BU6KM3TOQ&url=%2FRuff-Ruffus-Portable-Foldable-Collapsible%2Fdp%2FB072BMNKXW%2Fref%3Dsr_1_10_sspa%3Fdchild%3D1%26keywords%3Ddog%2Bduck%2Bpig%2Bgoose23%26qid%3D1606270202%26sr%3D8-10-spons%26psc%3D1&qualifier=1606270202&id=6613260837458978&widgetName=sp_mtf,$38.97,B072BMNKXW,Ruff 'N Ruffus Portable Foldable Pet Playpen + FREE Carrying Case + FREE Travel Bowl | Available in 3 Sizes | Exercise Pen Kennel Indoor/Outdoor Water-Resistant Removable Shade Cover Dogs/Cats/Rabbits,4.3 out of 5 stars
https://m.media-amazon.com/images/I/71Yv1CCqExL._AC_UY218_.jpg,https://www.amazon.com/Pet-Ducks-Muscovy-Water-Fowl/dp/B079YLCNL7/ref=sr_1_11?dchild=1&keywords=dog+duck+pig+goose23&qid=1606270202&sr=8-11,$15.99,B079YLCNL7,Pet Ducks Pet All Muscovy Ducks Water Fowl,-1
https://m.media-amazon.com/images/I/81YCAq4i3ZL._AC_UY218_.jpg,https://www.amazon.com/Pet-Center-Dpc33116-Natural-Quakers/dp/B004163ZGK/ref=sr_1_12?dchild=1&keywords=dog+duck+pig+goose23&qid=1606270202&sr=8-12,$18.99,B004163ZGK,"Pet Center, Inc. PCI Quackers Raw Dehydrated Duck Breast Dog Treats, 1 Pound Container",4.2 out of 5 stars
https://m.media-amazon.com/images/I/71zX919WHvL._AC_UY218_.jpg,https://www.amazon.com/Baby-Pink-perfect-companion-Dogs/dp/B07JYZSLQN/ref=sr_1_13?dchild=1&keywords=dog+duck+pig+goose23&qid=1606270202&sr=8-13,$15.99,B07JYZSLQN,"Baby Pink Pig perfect companion. Dogs, Cats, Fish",-1
https://m.media-amazon.com/images/I/61viberQrGL._AC_UY218_.jpg,https://www.amazon.com/VIMIGOO-Grunting-Latex-Chew-Blue/dp/B08D3XY1BC/ref=sr_1_14?dchild=1&keywords=dog+duck+pig+goose23&qid=1606270202&sr=8-14,$14.79,B08D3XY1BC,"VIMIGOO Grunting Pig Latex Dog Toy, Dog Chew Toy, Pig Dog Toy (Blue)",4.5 out of 5 stars
https://m.media-amazon.com/images/I/81r64S0N2BL._AC_UY218_.jpg,https://www.amazon.com/Pet-Shape-20816-Skewers-100-Percent/dp/B07587NBKM/ref=sr_1_15?dchild=1&keywords=dog+duck+pig+goose23&qid=1606270202&sr=8-15,$14.95,B07587NBKM,Pet 'n Shape Chik 'n Skewers – Chicken or Duck Wrapped Rawhide Dog Chew,4.6 out of 5 stars
https://m.media-amazon.com/images/I/51gi70XDOzL._AC_UY218_.jpg,https://www.amazon.com/Cadet-Gourmet-Treats-Duck-Jerky/dp/B000SQK3QW/ref=sr_1_16?dchild=1&keywords=dog+duck+pig+goose23&qid=1606270202&sr=8-16,$27.83,B000SQK3QW,Cadet Gourmet Duck Jerky Treats for Dogs,4.4 out of 5 stars
https://m.media-amazon.com/images/I/91MPxUcFkOL._AC_UY218_.jpg,https://www.amazon.com/ETTA-SAYS-Duck-Treats-Pack/dp/B08JH4S5FG/ref=sr_1_17?dchild=1&keywords=dog+duck+pig+goose23&qid=1606270202&sr=8-17,$19.99,B08JH4S5FG,"ETTA SAYS! Duck Dog Treats Pack of 2 – Duck Jerky & Duck Chews - Made in The USA, Grain-Free Dog Treats",-1
https://m.media-amazon.com/images/I/61eDU7lzeiL._AC_UY218_.jpg,https://www.amazon.com/Liberty-Imports-Plush-Electronic-Piglet/dp/B083XD4PR7/ref=sr_1_18?dchild=1&keywords=dog+duck+pig+goose23&qid=1606270202&sr=8-18,$21.93,B083XD4PR7,"Liberty Imports Plush Pigy Pet Piggy Electronic Toy Piglet - Walking, Wag Tail, Wiggle Nose, Oink Sounds for Kids",4.1 out of 5 stars
https://m.media-amazon.com/images/I/61gDDgJcS7L._AC_UY218_.jpg,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A01855692JZJD320CIA5A&url=%2FNACOCO-Cowboy-Costume-Clothes-Halloween%2Fdp%2FB0722MR783%2Fref%3Dsr_1_19_sspa%3Fdchild%3D1%26keywords%3Ddog%2Bduck%2Bpig%2Bgoose23%26qid%3D1606270202%26sr%3D8-19-spons%26psc%3D1&qualifier=1606270202&id=6613260837458978&widgetName=sp_btf,$15.99,B0722MR783,NACOCO Cowboy Rider Dog Costume for Dogs Clothes Knight Style with Doll and Hat for Halloween Day Pet Costume (L),4.5 out of 5 stars
